P-n16-k8,375,1,392.00000000000006,604
P-n19-k2,198,1,214.7,292
P-n22-k8,492,1,518.3,844
P-n22-k2,202,1,242.8,288
P-n20-k2,202,1,257.6,282
P-n21-k2,199,1,257.5,282
P-n50-k10,662,1,704.2,956
P-n50-k7,539,1,579.0,728
P-n40-k5,432,0,529.6,628
P-n45-k5,509,0,676.8,702
X-n106-k14,20525,1,21880.0,34588
P-n55-k10,647,1,687.9,920
P-n55-k7,547,1,628.7,766
P-n76-k4,717,0,782.0999999999999,794
P-n51-k10,699,1,748.3,1092
P-n65-k10,930,1,996.9999999999999,1046
P-n60-k15,939,1,982.8000000000001,1354
P-n60-k10,818,-1,890.3000000000001,964
P-n70-k10,943,-1,1063.9,1138
P-n76-k5,708,0,785.8,802
P-n101-k4,775,0,877.9,896
A-n33-k6,701,1,740.5,1070

============= New Results ============
P-n16-k8,382.4,1,385.7,600.0
P-n19-k2,204.0,1,251.3,280.0
P-n101-k4,808.9,0,881.1,876.0
